6 19:37:27 OverAll: 96,4  DoTick: 93,6  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,9  Chunk: 0,0  Players: 0  
7 19:37:29 OverAll: 4,0  DoTick: 1,3  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
8 19:37:52 OverAll: 0,6  DoTick: 0,2  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
9 19:38:22 OverAll: 1,3  DoTick: 0,5  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 19:38:52 OverAll: 1,3  DoTick: 0,4  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
11 19:39:22 OverAll: 1,7  DoTick: 0,4  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
12 19:39:52 OverAll: 1,2  DoTick: 0,4  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
13 19:40:22 OverAll: 1,3  DoTick: 0,4  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
14 19:40:52 OverAll: 1,4  DoTick: 0,5  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
15 19:41:22 OverAll: 1,3  DoTick: 0,5  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
16 19:41:52 OverAll: 1,4  DoTick: 0,5  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 19:42:22 OverAll: 1,5  DoTick: 0,4  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 19:42:52 OverAll: 1,5  DoTick: 0,5  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
19 19:43:22 OverAll: 1,4  DoTick: 0,4  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 19:43:52 OverAll: 1,3  DoTick: 0,3  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
