1 13:52:13 OverAll: 5,9  DoTick: 5,5  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
2 13:52:43 OverAll: 1,1  DoTick: 0,7  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
3 13:53:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
4 13:53:43 OverAll: 0,2  DoTick: 0,1  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
5 13:54:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
6 13:54:43 OverAll: 1,2  DoTick: 0,8  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
7 13:55:13 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
8 13:55:43 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
9 13:56:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 13:56:43 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 13:57:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 13:57:43 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 13:58:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 13:58:43 OverAll: 0,4  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 13:59:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 13:59:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 14:00:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 14:00:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 14:01:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 14:01:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
21 14:02:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
22 14:02:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
23 14:03:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
24 14:03:43 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
25 14:04:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
26 14:04:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
27 14:05:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
28 14:05:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
29 14:06:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
30 14:06:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
31 14:07:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
32 14:07:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
33 14:08:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
34 14:08:43 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
35 14:09:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
36 14:09:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
37 14:10:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
38 14:10:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
39 14:11:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
40 14:11:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
41 14:12:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
42 14:12:43 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
43 14:13:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
44 14:13:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
45 14:14:13 OverAll: 0,4  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
46 14:14:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
47 14:15:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
48 14:15:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
49 14:16:13 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
50 14:16:43 OverAll: 0,3  DoTick: 0,2  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
51 14:17:13 OverAll: 0,5  DoTick: 0,2  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
52 14:17:43 OverAll: 0,7  DoTick: 0,4  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
53 14:18:13 OverAll: 0,7  DoTick: 0,4  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
54 14:18:43 OverAll: 0,7  DoTick: 0,4  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
55 14:19:13 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
56 14:19:43 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
57 14:20:13 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
58 14:20:43 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
59 14:21:13 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
60 14:21:43 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
