1 16:55:16 OverAll: 0,9  DoTick: 0,7  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
2 16:55:46 OverAll: 0,7  DoTick: 0,4  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
3 16:56:16 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
4 16:56:46 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
5 16:57:16 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
6 16:57:46 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
7 16:58:16 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
8 16:58:46 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
9 16:59:16 OverAll: 0,7  DoTick: 0,3  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 16:59:46 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 17:00:16 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 17:00:46 OverAll: 0,6  DoTick: 0,3  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 17:01:16 OverAll: 0,6  DoTick: 0,4  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 17:01:46 OverAll: 0,6  DoTick: 0,4  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 17:02:16 OverAll: 0,6  DoTick: 0,4  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 17:02:46 OverAll: 0,6  DoTick: 0,4  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 17:03:16 OverAll: 0,6  DoTick: 0,4  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 17:03:46 OverAll: 0,6  DoTick: 0,4  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 17:04:16 OverAll: 0,7  DoTick: 0,5  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 17:04:46 OverAll: 0,5  DoTick: 0,3  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
