1 02:25:18 OverAll: 5,1  DoTick: 2,0  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
2 02:25:52 OverAll: 5,3  DoTick: 3,2  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
3 02:26:25 OverAll: 4,2  DoTick: 2,4  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
4 02:26:58 OverAll: 3,9  DoTick: 2,5  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 02:27:30 OverAll: 4,3  DoTick: 2,7  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
6 02:27:40 OverAll: 0,9  DoTick: 0,3  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
7 02:28:10 OverAll: 1,2  DoTick: 0,4  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
8 02:28:40 OverAll: 1,4  DoTick: 0,7  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
9 02:29:10 OverAll: 1,2  DoTick: 0,6  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 02:29:40 OverAll: 1,2  DoTick: 0,6  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 02:30:10 OverAll: 1,2  DoTick: 0,6  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 02:30:40 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 02:31:10 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 02:31:40 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 02:32:10 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 02:32:40 OverAll: 1,1  DoTick: 0,6  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 02:33:10 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 02:33:40 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 02:34:10 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 02:34:40 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
21 02:35:10 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
22 02:35:40 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
23 02:36:10 OverAll: 1,0  DoTick: 0,6  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
24 02:36:40 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
25 02:37:10 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
26 02:37:40 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
27 02:38:10 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
28 02:38:40 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
29 02:39:10 OverAll: 1,0  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
30 02:39:40 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
31 02:40:10 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
32 02:40:40 OverAll: 1,1  DoTick: 0,6  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
33 02:41:10 OverAll: 1,1  DoTick: 0,5  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
34 02:41:40 OverAll: 1,1  DoTick: 0,6  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
35 02:42:10 OverAll: 2,0  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
36 02:42:40 OverAll: 1,9  DoTick: 0,8  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
37 02:43:10 OverAll: 2,4  DoTick: 1,5  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
38 02:43:40 OverAll: 1,5  DoTick: 0,9  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
39 02:44:10 OverAll: 1,4  DoTick: 0,7  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
40 02:44:40 OverAll: 1,4  DoTick: 0,6  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
