1 14:04:26 OverAll: 10,6  DoTick: 3,0  TickEntities: 6,5  TickTileEntities: 0,0  Tracker: 0,9  Chunk: 0,0  Players: 0  
2 14:04:56 OverAll: 9,0  DoTick: 3,2  TickEntities: 5,2  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
3 14:05:26 OverAll: 3,4  DoTick: 1,3  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
4 14:05:56 OverAll: 3,3  DoTick: 1,3  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
5 14:06:26 OverAll: 4,1  DoTick: 2,0  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
6 14:06:56 OverAll: 6,4  DoTick: 3,1  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
7 14:07:26 OverAll: 5,0  DoTick: 2,0  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
8 14:07:56 OverAll: 4,7  DoTick: 2,0  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
9 14:08:26 OverAll: 4,5  DoTick: 2,1  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
10 14:08:57 OverAll: 4,5  DoTick: 2,3  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
11 14:09:26 OverAll: 4,5  DoTick: 2,0  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
12 14:09:56 OverAll: 4,4  DoTick: 1,8  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
13 14:10:26 OverAll: 4,6  DoTick: 2,0  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
14 14:10:56 OverAll: 4,3  DoTick: 1,8  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
15 14:11:26 OverAll: 5,0  DoTick: 2,2  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
16 14:11:56 OverAll: 3,3  DoTick: 1,3  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
17 14:12:26 OverAll: 2,8  DoTick: 1,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 14:12:56 OverAll: 3,1  DoTick: 1,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
19 14:13:26 OverAll: 3,1  DoTick: 1,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 14:13:56 OverAll: 3,0  DoTick: 1,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
