1 14:29:48 OverAll: 280,8  DoTick: 67,1  TickEntities: 193,6  TickTileEntities: 0,1  Tracker: 19,9  Chunk: 0,0  Players: 1  
2 14:31:18 OverAll: 271,6  DoTick: 10,8  TickEntities: 248,4  TickTileEntities: 0,1  Tracker: 12,2  Chunk: 0,0  Players: 1  
3 14:31:24 OverAll: 12,1  DoTick: 5,4  TickEntities: 6,0  TickTileEntities: 0,1  Tracker: 0,5  Chunk: 0,0  Players: 1  
4 14:31:25 OverAll: 1,6  DoTick: 0,3  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
5 14:31:27 OverAll: 2,4  DoTick: 0,3  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
6 14:31:28 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
7 14:31:28 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
8 14:31:29 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 14:31:30 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 14:31:31 OverAll: 1,7  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 14:31:32 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
12 14:31:33 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 14:31:34 OverAll: 0,9  DoTick: 0,2  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 14:31:35 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 14:31:35 OverAll: 0,7  DoTick: 0,2  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 14:31:36 OverAll: 0,9  DoTick: 0,2  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 14:31:54 OverAll: 1,3  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 14:32:24 OverAll: 1,5  DoTick: 0,3  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 14:32:54 OverAll: 1,5  DoTick: 0,3  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 14:33:24 OverAll: 1,4  DoTick: 0,3  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
