1 15:40:28 OverAll: 19,5  DoTick: 6,0  TickEntities: 11,4  TickTileEntities: 0,0  Tracker: 2,0  Chunk: 0,0  Players: 0  
2 15:41:18 OverAll: 8,7  DoTick: 3,1  TickEntities: 5,0  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
3 15:42:07 OverAll: 9,7  DoTick: 5,3  TickEntities: 3,6  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
4 15:42:54 OverAll: 6,6  DoTick: 3,8  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
5 15:43:41 OverAll: 6,5  DoTick: 3,9  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
6 15:44:13 OverAll: 5,2  DoTick: 2,8  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
7 15:44:14 OverAll: 2,0  DoTick: 0,4  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
8 15:44:15 OverAll: 1,8  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
9 15:44:16 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
10 15:44:23 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 15:44:53 OverAll: 1,7  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 15:45:23 OverAll: 1,7  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 15:45:53 OverAll: 1,7  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 15:46:23 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 15:46:53 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
16 15:47:23 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 15:47:53 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 15:48:23 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 15:48:53 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
20 15:49:23 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
