1 15:56:03 OverAll: 21,5  DoTick: 7,4  TickEntities: 12,6  TickTileEntities: 0,0  Tracker: 1,4  Chunk: 0,0  Players: 0  
2 15:56:53 OverAll: 11,5  DoTick: 4,5  TickEntities: 6,2  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
3 15:57:43 OverAll: 12,5  DoTick: 6,3  TickEntities: 5,4  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
4 15:58:31 OverAll: 8,5  DoTick: 4,7  TickEntities: 3,3  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
5 15:59:18 OverAll: 8,8  DoTick: 4,5  TickEntities: 3,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
6 15:59:26 OverAll: 3,9  DoTick: 1,8  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
7 15:59:27 OverAll: 1,8  DoTick: 0,9  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
8 15:59:28 OverAll: 1,2  DoTick: 0,7  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 15:59:29 OverAll: 1,2  DoTick: 0,8  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 15:59:54 OverAll: 2,0  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 16:00:24 OverAll: 2,1  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 16:00:54 OverAll: 2,1  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 16:01:24 OverAll: 2,0  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 16:01:54 OverAll: 2,0  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 16:02:24 OverAll: 2,0  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
16 16:02:54 OverAll: 1,9  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 16:03:24 OverAll: 1,9  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 16:03:54 OverAll: 1,9  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 16:04:24 OverAll: 1,9  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
20 16:04:54 OverAll: 1,9  DoTick: 0,9  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
