1 17:41:00 OverAll: 18,7  DoTick: 6,2  TickEntities: 9,7  TickTileEntities: 0,0  Tracker: 2,6  Chunk: 0,0  Players: 0  
2 17:41:50 OverAll: 6,9  DoTick: 3,0  TickEntities: 3,3  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
3 17:42:39 OverAll: 9,4  DoTick: 5,7  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 1,2  Chunk: 0,0  Players: 1  
4 17:43:27 OverAll: 6,9  DoTick: 3,5  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
5 17:44:16 OverAll: 10,4  DoTick: 6,0  TickEntities: 3,5  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
6 17:45:04 OverAll: 7,2  DoTick: 4,3  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
7 17:45:12 OverAll: 5,3  DoTick: 2,0  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 1,3  Chunk: 0,0  Players: 1  
8 17:45:15 OverAll: 3,4  DoTick: 0,9  TickEntities: 1,2  TickTileEntities: 0,1  Tracker: 1,1  Chunk: 0,0  Players: 1  
9 17:45:16 OverAll: 2,1  DoTick: 0,7  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
10 17:45:18 OverAll: 1,8  DoTick: 0,5  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
11 17:45:24 OverAll: 3,7  DoTick: 0,9  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 1,4  Chunk: 0,0  Players: 1  
12 17:45:54 OverAll: 1,8  DoTick: 0,6  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
13 17:46:24 OverAll: 1,8  DoTick: 0,6  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
14 17:46:54 OverAll: 1,8  DoTick: 0,7  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
15 17:47:24 OverAll: 2,1  DoTick: 0,6  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
16 17:47:54 OverAll: 1,7  DoTick: 0,6  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
17 17:48:24 OverAll: 1,7  DoTick: 0,5  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
18 17:48:54 OverAll: 1,9  DoTick: 0,6  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
19 17:49:24 OverAll: 1,5  DoTick: 0,5  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
20 17:49:54 OverAll: 1,6  DoTick: 0,5  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
21 17:50:24 OverAll: 1,8  DoTick: 0,5  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
22 17:50:54 OverAll: 1,9  DoTick: 0,6  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
23 17:51:24 OverAll: 2,0  DoTick: 0,5  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
24 17:51:54 OverAll: 1,8  DoTick: 0,4  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
25 17:52:24 OverAll: 2,0  DoTick: 0,5  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
