1 18:09:40 OverAll: 21,2  DoTick: 7,6  TickEntities: 11,4  TickTileEntities: 0,1  Tracker: 1,9  Chunk: 0,0  Players: 0  
2 18:10:32 OverAll: 11,5  DoTick: 4,8  TickEntities: 5,9  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
3 18:11:23 OverAll: 11,0  DoTick: 6,6  TickEntities: 3,7  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
4 18:12:11 OverAll: 9,6  DoTick: 5,2  TickEntities: 3,7  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 1  
5 18:12:59 OverAll: 9,4  DoTick: 5,0  TickEntities: 3,6  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
6 18:13:15 OverAll: 5,7  DoTick: 3,7  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
7 18:13:16 OverAll: 2,1  DoTick: 1,2  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 18:13:17 OverAll: 1,4  DoTick: 0,9  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 18:13:18 OverAll: 1,4  DoTick: 0,9  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 18:13:31 OverAll: 1,9  DoTick: 1,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 18:14:01 OverAll: 2,5  DoTick: 1,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 18:14:31 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 18:15:01 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 18:15:31 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 18:16:01 OverAll: 2,2  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 18:16:31 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 18:17:01 OverAll: 2,4  DoTick: 1,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 18:17:31 OverAll: 2,2  DoTick: 1,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 18:18:01 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
20 18:18:31 OverAll: 2,5  DoTick: 1,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
21 18:19:01 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
22 18:19:31 OverAll: 2,2  DoTick: 1,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
