1 22:06:01 OverAll: 15,1  DoTick: 4,2  TickEntities: 9,8  TickTileEntities: 0,0  Tracker: 1,0  Chunk: 0,0  Players: 0  
2 22:06:50 OverAll: 8,8  DoTick: 3,1  TickEntities: 5,0  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 0  
3 22:07:44 OverAll: 14,8  DoTick: 7,4  TickEntities: 5,7  TickTileEntities: 0,0  Tracker: 1,5  Chunk: 0,0  Players: 0  
4 22:08:32 OverAll: 8,0  DoTick: 3,9  TickEntities: 3,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
5 22:09:19 OverAll: 7,8  DoTick: 3,9  TickEntities: 3,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
6 22:09:39 OverAll: 7,0  DoTick: 3,0  TickEntities: 3,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
7 22:09:43 OverAll: 5,8  DoTick: 0,8  TickEntities: 3,4  TickTileEntities: 0,0  Tracker: 1,5  Chunk: 0,0  Players: 2  
8 22:09:44 OverAll: 2,7  DoTick: 0,3  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
9 22:09:45 OverAll: 1,5  DoTick: 0,3  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
10 22:10:00 OverAll: 2,6  DoTick: 0,3  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 22:10:30 OverAll: 3,1  DoTick: 0,3  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 22:11:00 OverAll: 2,9  DoTick: 0,3  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
13 22:11:30 OverAll: 4,0  DoTick: 1,4  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
14 22:12:00 OverAll: 5,8  DoTick: 2,6  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
15 22:12:35 OverAll: 6,4  DoTick: 3,2  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
16 22:13:00 OverAll: 5,9  DoTick: 2,2  TickEntities: 3,2  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
17 22:13:30 OverAll: 3,2  DoTick: 1,4  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 22:14:00 OverAll: 3,6  DoTick: 1,6  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
19 22:14:30 OverAll: 3,3  DoTick: 1,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 22:15:00 OverAll: 4,0  DoTick: 1,8  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
21 22:15:30 OverAll: 4,3  DoTick: 2,0  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
22 22:16:00 OverAll: 3,2  DoTick: 1,5  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
23 22:16:30 OverAll: 3,0  DoTick: 1,3  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
24 22:17:00 OverAll: 2,8  DoTick: 1,2  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
25 22:17:30 OverAll: 2,6  DoTick: 1,1  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
26 22:18:00 OverAll: 2,7  DoTick: 1,1  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
27 22:18:30 OverAll: 2,8  DoTick: 1,1  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
28 22:19:00 OverAll: 3,0  DoTick: 1,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
29 22:19:30 OverAll: 2,7  DoTick: 1,2  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
30 22:20:00 OverAll: 2,8  DoTick: 1,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
31 22:20:30 OverAll: 2,7  DoTick: 1,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
32 22:21:00 OverAll: 3,0  DoTick: 1,4  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
33 22:21:30 OverAll: 2,9  DoTick: 1,4  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
34 22:22:00 OverAll: 2,7  DoTick: 1,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
35 22:22:30 OverAll: 2,8  DoTick: 1,4  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
36 22:23:00 OverAll: 2,6  DoTick: 1,1  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
37 22:23:30 OverAll: 2,8  DoTick: 1,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
38 22:24:00 OverAll: 3,0  DoTick: 1,4  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
39 22:24:30 OverAll: 2,9  DoTick: 1,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
