1 16:20:50 OverAll: 11,3  DoTick: 3,3  TickEntities: 7,2  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
2 16:21:40 OverAll: 8,3  DoTick: 2,8  TickEntities: 4,5  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 0  
3 16:22:29 OverAll: 8,7  DoTick: 5,4  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
4 16:23:17 OverAll: 8,0  DoTick: 4,1  TickEntities: 3,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
5 16:24:03 OverAll: 6,5  DoTick: 3,8  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
6 16:24:14 OverAll: 4,5  DoTick: 2,1  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
7 16:24:16 OverAll: 1,9  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
8 16:24:16 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
9 16:24:21 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
10 16:24:51 OverAll: 2,2  DoTick: 0,3  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 16:25:21 OverAll: 2,0  DoTick: 0,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 16:25:51 OverAll: 2,0  DoTick: 0,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
13 16:26:21 OverAll: 2,2  DoTick: 0,3  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
14 16:26:51 OverAll: 2,1  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
15 16:27:21 OverAll: 2,0  DoTick: 0,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
16 16:27:51 OverAll: 2,0  DoTick: 0,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
17 16:28:21 OverAll: 2,1  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 16:28:51 OverAll: 2,1  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
19 16:29:21 OverAll: 18,8  DoTick: 0,2  TickEntities: 18,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
20 16:29:51 OverAll: 2,1  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
