1 16:35:31 OverAll: 16,5  DoTick: 5,8  TickEntities: 9,6  TickTileEntities: 0,0  Tracker: 1,0  Chunk: 0,0  Players: 0  
2 16:36:19 OverAll: 7,5  DoTick: 3,4  TickEntities: 3,5  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
3 16:37:09 OverAll: 10,1  DoTick: 5,7  TickEntities: 3,8  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
4 16:37:55 OverAll: 6,6  DoTick: 3,5  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
5 16:38:42 OverAll: 6,9  DoTick: 4,6  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
6 16:38:43 OverAll: 1,9  DoTick: 0,8  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
7 16:38:44 OverAll: 0,8  DoTick: 0,2  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 16:38:44 OverAll: 0,7  DoTick: 0,1  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 16:38:59 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 16:39:29 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 16:39:59 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 16:40:29 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 16:40:59 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 16:41:29 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 16:41:59 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 16:42:29 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 16:42:59 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 16:43:29 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 16:43:59 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 16:44:29 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
