1 16:46:45 OverAll: 13,8  DoTick: 5,0  TickEntities: 7,6  TickTileEntities: 0,0  Tracker: 1,1  Chunk: 0,0  Players: 0  
2 16:47:34 OverAll: 8,3  DoTick: 3,4  TickEntities: 4,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
3 16:48:23 OverAll: 10,4  DoTick: 6,1  TickEntities: 3,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
4 16:49:09 OverAll: 6,1  DoTick: 3,5  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
5 16:49:56 OverAll: 7,7  DoTick: 4,6  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
6 16:50:05 OverAll: 2,9  DoTick: 1,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
7 16:50:06 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 16:50:07 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 16:50:11 OverAll: 1,0  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 16:50:41 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 16:51:11 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 16:51:41 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 16:52:11 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 16:52:41 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 16:53:11 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
16 16:53:41 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 16:54:11 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 16:54:41 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 16:55:11 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
20 16:55:41 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
