1 17:07:56 OverAll: 16,2  DoTick: 5,4  TickEntities: 9,6  TickTileEntities: 0,0  Tracker: 1,1  Chunk: 0,0  Players: 1  
2 17:08:03 OverAll: 3,2  DoTick: 0,9  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
3 17:08:33 OverAll: 2,2  DoTick: 0,5  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
4 17:09:03 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
5 17:09:33 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
6 17:10:03 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
7 17:10:33 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
8 17:11:03 OverAll: 1,8  DoTick: 0,2  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
9 17:11:33 OverAll: 1,8  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
10 17:12:03 OverAll: 1,8  DoTick: 0,2  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 17:12:33 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 17:13:03 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 17:13:33 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 17:14:03 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
