1 21:10:49 OverAll: 18,2  DoTick: 6,2  TickEntities: 11,0  TickTileEntities: 0,0  Tracker: 0,9  Chunk: 0,0  Players: 0  
2 21:11:02 OverAll: 3,7  DoTick: 1,1  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
3 21:11:32 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
4 21:12:02 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 21:12:32 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
6 21:13:02 OverAll: 1,7  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
7 21:13:32 OverAll: 1,7  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 21:14:02 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 21:14:32 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 21:15:02 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 21:15:32 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 21:16:02 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 21:16:32 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 21:17:02 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 21:17:32 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 21:18:02 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 21:18:32 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 21:19:02 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 21:19:32 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 21:20:02 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
21 21:20:32 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
