1 21:51:51 OverAll: 15,1  DoTick: 4,5  TickEntities: 9,7  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 0  
2 21:52:07 OverAll: 3,3  DoTick: 0,5  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
3 21:52:37 OverAll: 2,3  DoTick: 0,7  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
4 21:53:07 OverAll: 2,4  DoTick: 1,3  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 21:53:37 OverAll: 1,3  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
6 21:54:07 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
7 21:54:37 OverAll: 1,3  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
8 21:55:07 OverAll: 1,3  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
9 21:55:37 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 21:56:07 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 21:56:37 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 21:57:07 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 21:57:37 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 21:58:07 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
