1 22:54:15 OverAll: 14,9  DoTick: 4,3  TickEntities: 9,3  TickTileEntities: 0,0  Tracker: 1,2  Chunk: 0,0  Players: 0  
2 22:54:28 OverAll: 2,4  DoTick: 0,4  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
3 22:54:58 OverAll: 1,9  DoTick: 0,5  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
4 22:55:28 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 22:55:58 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
6 22:56:28 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
7 22:56:58 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
8 22:57:28 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
9 22:57:58 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 22:58:28 OverAll: 1,5  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 22:58:58 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 22:59:28 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 22:59:58 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 23:00:28 OverAll: 1,3  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 23:00:58 OverAll: 1,2  DoTick: 0,2  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 23:01:28 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 23:01:58 OverAll: 1,4  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 23:02:28 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 23:02:58 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 23:03:28 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
