1 13:22:34 Avg: 85,1  Max: 1207,3  AvgCalls: 1  Players: 0  
2 13:22:43 Avg: 4,8  Max: 71,2  AvgCalls: 1  Players: 1  
3 13:23:13 Avg: 1,8  Max: 9,5  AvgCalls: 1  Players: 1  
4 13:23:43 Avg: 1,7  Max: 6,4  AvgCalls: 1  Players: 1  
5 13:24:13 Avg: 1,6  Max: 5,3  AvgCalls: 1  Players: 1  
6 13:24:43 Avg: 1,6  Max: 4,3  AvgCalls: 1  Players: 1  
7 13:25:13 Avg: 1,6  Max: 12,2  AvgCalls: 1  Players: 1  
8 13:25:43 Avg: 1,6  Max: 9,3  AvgCalls: 1  Players: 1  
9 13:26:13 Avg: 1,6  Max: 4,4  AvgCalls: 1  Players: 1  
10 13:26:43 Avg: 1,8  Max: 95,0  AvgCalls: 1  Players: 1  
11 13:27:13 Avg: 1,6  Max: 19,1  AvgCalls: 1  Players: 1  
12 13:27:43 Avg: 1,5  Max: 3,4  AvgCalls: 1  Players: 1  
13 13:28:13 Avg: 1,6  Max: 6,9  AvgCalls: 1  Players: 1  
14 13:28:43 Avg: 1,6  Max: 7,2  AvgCalls: 1  Players: 1  
15 13:29:13 Avg: 1,5  Max: 4,9  AvgCalls: 1  Players: 1  
16 13:29:43 Avg: 1,6  Max: 4,1  AvgCalls: 1  Players: 1  
17 13:30:13 Avg: 1,5  Max: 13,3  AvgCalls: 1  Players: 1  
18 13:30:43 Avg: 1,5  Max: 4,6  AvgCalls: 1  Players: 1  
19 13:31:13 Avg: 1,5  Max: 5,4  AvgCalls: 1  Players: 1  
20 13:31:43 Avg: 1,6  Max: 19,0  AvgCalls: 1  Players: 1  
21 13:32:13 Avg: 1,5  Max: 7,3  AvgCalls: 1  Players: 1  
22 13:32:43 Avg: 1,5  Max: 6,9  AvgCalls: 1  Players: 1  
23 13:33:13 Avg: 1,5  Max: 2,7  AvgCalls: 1  Players: 1  
24 13:33:43 Avg: 1,5  Max: 7,5  AvgCalls: 1  Players: 1  
25 13:34:13 Avg: 1,5  Max: 5,0  AvgCalls: 1  Players: 1  
26 13:34:43 Avg: 1,6  Max: 4,9  AvgCalls: 1  Players: 1  
27 13:35:13 Avg: 1,5  Max: 7,3  AvgCalls: 1  Players: 1  
28 13:35:43 Avg: 1,6  Max: 32,5  AvgCalls: 1  Players: 1  
29 13:36:13 Avg: 1,6  Max: 5,2  AvgCalls: 1  Players: 1  
30 13:36:43 Avg: 1,5  Max: 9,1  AvgCalls: 1  Players: 1  
31 13:37:13 Avg: 1,5  Max: 8,2  AvgCalls: 1  Players: 1  
32 13:37:43 Avg: 1,5  Max: 3,7  AvgCalls: 1  Players: 1  
33 13:38:13 Avg: 1,5  Max: 6,8  AvgCalls: 1  Players: 1  
34 13:38:43 Avg: 1,5  Max: 5,1  AvgCalls: 1  Players: 1  
35 13:39:13 Avg: 1,5  Max: 4,2  AvgCalls: 1  Players: 1  
36 13:39:43 Avg: 1,5  Max: 5,5  AvgCalls: 1  Players: 1  
37 13:40:13 Avg: 1,5  Max: 7,3  AvgCalls: 1  Players: 1  
38 13:40:43 Avg: 1,5  Max: 2,9  AvgCalls: 1  Players: 1  
39 13:41:13 Avg: 1,5  Max: 3,6  AvgCalls: 1  Players: 1  
40 13:41:43 Avg: 1,5  Max: 7,1  AvgCalls: 1  Players: 1  
41 13:42:13 Avg: 1,5  Max: 4,2  AvgCalls: 1  Players: 1  
42 13:42:43 Avg: 1,5  Max: 5,7  AvgCalls: 1  Players: 1  
43 13:43:13 Avg: 1,5  Max: 5,6  AvgCalls: 1  Players: 1  
44 13:43:43 Avg: 1,5  Max: 3,3  AvgCalls: 1  Players: 1  
45 13:44:13 Avg: 1,5  Max: 4,5  AvgCalls: 1  Players: 1  
46 13:44:43 Avg: 1,5  Max: 4,1  AvgCalls: 1  Players: 1  
47 13:45:13 Avg: 1,5  Max: 5,5  AvgCalls: 1  Players: 1  
48 13:45:43 Avg: 1,5  Max: 4,8  AvgCalls: 1  Players: 1  
49 13:46:13 Avg: 1,6  Max: 48,8  AvgCalls: 1  Players: 1  
50 13:46:43 Avg: 1,6  Max: 33,5  AvgCalls: 1  Players: 1  
51 13:47:13 Avg: 1,5  Max: 5,2  AvgCalls: 1  Players: 1  
52 13:47:43 Avg: 1,5  Max: 5,3  AvgCalls: 1  Players: 1  
53 13:48:13 Avg: 1,5  Max: 8,3  AvgCalls: 1  Players: 1  
54 13:48:43 Avg: 1,5  Max: 3,9  AvgCalls: 1  Players: 1  
55 13:49:13 Avg: 1,5  Max: 3,6  AvgCalls: 1  Players: 1  
56 13:49:43 Avg: 1,6  Max: 6,4  AvgCalls: 1  Players: 1  
57 13:50:13 Avg: 1,5  Max: 3,4  AvgCalls: 1  Players: 1  
58 13:50:43 Avg: 1,5  Max: 3,3  AvgCalls: 1  Players: 1  
59 13:51:13 Avg: 1,5  Max: 4,8  AvgCalls: 1  Players: 1  
60 13:51:43 Avg: 1,5  Max: 9,8  AvgCalls: 1  Players: 1  
61 13:52:13 Avg: 1,5  Max: 5,1  AvgCalls: 1  Players: 1  
62 13:52:43 Avg: 1,5  Max: 18,1  AvgCalls: 1  Players: 1  
63 13:53:13 Avg: 1,5  Max: 5,3  AvgCalls: 1  Players: 1  
64 13:53:43 Avg: 1,5  Max: 2,7  AvgCalls: 1  Players: 1  
65 13:54:13 Avg: 1,5  Max: 5,2  AvgCalls: 1  Players: 1  
66 13:54:43 Avg: 1,5  Max: 3,8  AvgCalls: 1  Players: 1  
67 13:55:13 Avg: 1,5  Max: 3,8  AvgCalls: 1  Players: 1  
68 13:55:43 Avg: 1,5  Max: 3,4  AvgCalls: 1  Players: 1  
69 13:56:13 Avg: 1,5  Max: 11,3  AvgCalls: 1  Players: 1  
70 13:56:43 Avg: 1,5  Max: 8,5  AvgCalls: 1  Players: 1  
71 13:57:13 Avg: 1,6  Max: 9,3  AvgCalls: 1  Players: 1  
72 13:57:43 Avg: 1,5  Max: 5,5  AvgCalls: 1  Players: 1  
73 13:58:13 Avg: 1,5  Max: 7,2  AvgCalls: 1  Players: 1  
74 13:58:43 Avg: 1,5  Max: 21,2  AvgCalls: 1  Players: 1  
75 13:59:13 Avg: 1,5  Max: 5,8  AvgCalls: 1  Players: 1  
76 13:59:43 Avg: 1,5  Max: 4,3  AvgCalls: 1  Players: 1  
77 14:00:13 Avg: 1,5  Max: 3,9  AvgCalls: 1  Players: 1  
78 14:00:43 Avg: 1,5  Max: 11,2  AvgCalls: 1  Players: 1  
79 14:01:13 Avg: 1,5  Max: 3,5  AvgCalls: 1  Players: 1  
80 14:01:43 Avg: 1,6  Max: 7,6  AvgCalls: 1  Players: 1  
81 14:02:13 Avg: 1,5  Max: 6,8  AvgCalls: 1  Players: 1  
82 14:02:43 Avg: 1,5  Max: 3,2  AvgCalls: 1  Players: 1  
83 14:03:13 Avg: 1,5  Max: 5,3  AvgCalls: 1  Players: 1  
84 14:03:43 Avg: 1,5  Max: 7,3  AvgCalls: 1  Players: 1  
85 14:04:13 Avg: 1,5  Max: 14,4  AvgCalls: 1  Players: 1  
86 14:04:43 Avg: 1,5  Max: 8,4  AvgCalls: 1  Players: 1  
