1 13:22:34 OverAll: 19,7  DoTick: 6,8  TickEntities: 10,9  TickTileEntities: 0,0  Tracker: 1,8  Chunk: 0,0  Players: 0  
2 13:22:43 OverAll: 4,3  DoTick: 1,1  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
3 13:23:13 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
4 13:23:43 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 13:24:13 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
6 13:24:43 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
7 13:25:13 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 13:25:43 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 13:26:13 OverAll: 1,6  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 13:26:43 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 13:27:13 OverAll: 1,6  DoTick: 0,3  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 13:27:43 OverAll: 1,6  DoTick: 0,3  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 13:28:13 OverAll: 1,6  DoTick: 0,3  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
