1 14:33:07 OverAll: 16,4  DoTick: 4,6  TickEntities: 9,5  TickTileEntities: 0,0  Tracker: 2,1  Chunk: 0,0  Players: 1  
2 14:33:12 OverAll: 6,2  DoTick: 0,8  TickEntities: 4,5  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 2  
3 14:33:42 OverAll: 3,6  DoTick: 0,8  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
4 14:34:12 OverAll: 2,1  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
5 14:34:42 OverAll: 2,1  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
6 14:35:12 OverAll: 2,1  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
7 14:35:42 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
8 14:36:12 OverAll: 2,1  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
9 14:36:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
10 14:37:12 OverAll: 2,1  DoTick: 0,3  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 14:37:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 14:38:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
13 14:38:42 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
14 14:39:12 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
15 14:39:42 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
16 14:40:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
17 14:40:42 OverAll: 2,2  DoTick: 0,3  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 14:41:12 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
19 14:41:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 14:42:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
21 14:42:42 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
22 14:43:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
23 14:43:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
24 14:44:12 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
25 14:44:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
26 14:45:12 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
27 14:45:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
28 14:46:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
29 14:46:42 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
30 14:47:12 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
31 14:47:42 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
32 14:48:12 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
33 14:48:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
34 14:49:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
35 14:49:42 OverAll: 1,8  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
36 14:50:12 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
37 14:50:42 OverAll: 2,0  DoTick: 0,3  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
38 14:51:12 OverAll: 2,2  DoTick: 0,3  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
39 14:51:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
40 14:52:12 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
41 14:52:42 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
42 14:53:12 OverAll: 2,1  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
