1 18:51:04 OverAll: 19,1  DoTick: 6,6  TickEntities: 10,3  TickTileEntities: 0,0  Tracker: 2,0  Chunk: 0,0  Players: 0  
2 18:51:08 OverAll: 3,7  DoTick: 0,6  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
3 18:51:38 OverAll: 5,8  DoTick: 1,2  TickEntities: 3,6  TickTileEntities: 0,0  Tracker: 0,9  Chunk: 0,0  Players: 2  
4 18:52:08 OverAll: 3,3  DoTick: 0,5  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 2  
5 18:52:38 OverAll: 3,0  DoTick: 0,5  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
6 18:53:08 OverAll: 3,0  DoTick: 0,5  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
7 18:53:38 OverAll: 3,1  DoTick: 0,5  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 2  
8 18:54:08 OverAll: 2,8  DoTick: 0,4  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
9 18:54:38 OverAll: 2,8  DoTick: 0,4  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
10 18:55:08 OverAll: 2,8  DoTick: 0,4  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
11 18:55:38 OverAll: 2,6  DoTick: 0,5  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
12 18:56:08 OverAll: 2,7  DoTick: 0,5  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
13 18:56:38 OverAll: 2,5  DoTick: 0,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
14 18:57:08 OverAll: 2,5  DoTick: 0,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
15 18:57:38 OverAll: 2,5  DoTick: 0,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
16 18:58:08 OverAll: 2,5  DoTick: 0,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
17 18:58:38 OverAll: 2,7  DoTick: 0,4  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
18 18:59:08 OverAll: 2,8  DoTick: 0,5  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
19 18:59:38 OverAll: 2,6  DoTick: 0,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
20 19:00:08 OverAll: 2,5  DoTick: 0,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
