1 19:24:12 OverAll: 17,3  DoTick: 5,2  TickEntities: 10,0  TickTileEntities: 0,0  Tracker: 1,8  Chunk: 0,0  Players: 0  
2 19:24:18 OverAll: 4,8  DoTick: 1,3  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
3 19:24:48 OverAll: 7,0  DoTick: 0,3  TickEntities: 5,9  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
4 19:25:18 OverAll: 3,8  DoTick: 0,3  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 2  
5 19:25:48 OverAll: 3,6  DoTick: 0,3  TickEntities: 2,6  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 2  
6 19:26:18 OverAll: 3,6  DoTick: 0,3  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 2  
7 19:26:48 OverAll: 3,3  DoTick: 0,4  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 2  
8 19:27:18 OverAll: 2,9  DoTick: 0,3  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
9 19:27:48 OverAll: 3,0  DoTick: 0,3  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
10 19:28:18 OverAll: 2,9  DoTick: 0,2  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
11 19:28:48 OverAll: 2,8  DoTick: 0,3  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
12 19:29:18 OverAll: 2,6  DoTick: 0,2  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
13 19:29:48 OverAll: 2,6  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
14 19:30:18 OverAll: 2,7  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
15 19:30:48 OverAll: 2,6  DoTick: 0,2  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
16 19:31:18 OverAll: 2,7  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
17 19:31:48 OverAll: 2,8  DoTick: 0,3  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
18 19:32:18 OverAll: 2,8  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
19 19:32:48 OverAll: 2,5  DoTick: 0,2  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
20 19:33:18 OverAll: 2,7  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
21 19:33:48 OverAll: 2,7  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
22 19:34:18 OverAll: 2,5  DoTick: 0,2  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
23 19:34:48 OverAll: 2,5  DoTick: 0,2  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
24 19:35:18 OverAll: 2,5  DoTick: 0,3  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
25 19:35:48 OverAll: 2,3  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
26 19:36:18 OverAll: 2,2  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
27 19:36:48 OverAll: 2,3  DoTick: 0,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
