1 21:58:24 OverAll: 10,5  DoTick: 3,1  TickEntities: 6,1  TickTileEntities: 0,0  Tracker: 1,2  Chunk: 0,0  Players: 0  
2 21:58:40 OverAll: 3,5  DoTick: 0,3  TickEntities: 2,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
3 21:59:09 OverAll: 2,5  DoTick: 0,5  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
4 21:59:39 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
5 22:00:09 OverAll: 2,5  DoTick: 0,2  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
6 22:00:39 OverAll: 3,0  DoTick: 0,4  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
7 22:01:09 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
8 22:01:39 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
9 22:02:09 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 22:02:39 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
11 22:03:09 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
12 22:03:39 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
13 22:04:09 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 22:04:39 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 22:05:09 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 22:05:39 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 22:06:09 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 22:06:39 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 22:07:09 OverAll: 0,3  DoTick: 0,0  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
20 22:07:39 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
