1 17:54:49 OverAll: 26,3  DoTick: 7,8  TickEntities: 15,8  TickTileEntities: 0,0  Tracker: 2,6  Chunk: 0,0  Players: 2  
2 17:54:53 OverAll: 4,8  DoTick: 1,2  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 1,2  Chunk: 0,0  Players: 3  
3 17:55:13 OverAll: 10,2  DoTick: 5,8  TickEntities: 3,2  TickTileEntities: 0,1  Tracker: 1,0  Chunk: 0,0  Players: 3  
4 17:55:43 OverAll: 10,2  DoTick: 5,4  TickEntities: 3,9  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 3  
5 17:56:13 OverAll: 10,2  DoTick: 5,4  TickEntities: 3,9  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 3  
6 17:56:43 OverAll: 7,9  DoTick: 4,2  TickEntities: 3,2  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 3  
7 17:57:13 OverAll: 9,4  DoTick: 4,3  TickEntities: 4,2  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 3  
8 17:57:43 OverAll: 8,3  DoTick: 4,2  TickEntities: 3,5  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 3  
9 17:58:13 OverAll: 6,7  DoTick: 3,2  TickEntities: 3,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
10 17:58:43 OverAll: 5,1  DoTick: 2,2  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
11 17:59:13 OverAll: 8,1  DoTick: 4,1  TickEntities: 3,2  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 2  
12 17:59:43 OverAll: 4,1  DoTick: 2,0  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
13 18:00:13 OverAll: 3,9  DoTick: 1,8  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
14 18:00:43 OverAll: 4,1  DoTick: 1,9  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
15 18:01:13 OverAll: 6,6  DoTick: 2,7  TickEntities: 3,1  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 2  
16 18:01:43 OverAll: 7,2  DoTick: 3,1  TickEntities: 3,3  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 2  
17 18:02:13 OverAll: 15,2  DoTick: 7,6  TickEntities: 5,3  TickTileEntities: 0,0  Tracker: 2,1  Chunk: 0,0  Players: 3  
18 18:02:43 OverAll: 4,9  DoTick: 2,1  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 3  
19 18:03:13 OverAll: 4,5  DoTick: 2,3  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 3  
20 18:03:43 OverAll: 4,0  DoTick: 2,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 3  
21 18:04:13 OverAll: 4,2  DoTick: 2,2  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 3  
22 18:04:43 OverAll: 4,5  DoTick: 2,1  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 3  
23 18:05:13 OverAll: 4,2  DoTick: 2,0  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 3  
24 18:05:43 OverAll: 4,1  DoTick: 2,0  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 3  
25 18:06:13 OverAll: 4,1  DoTick: 2,0  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 3  
26 18:06:43 OverAll: 4,0  DoTick: 2,0  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 3  
