1 11:14:04 OverAll: 33,5  DoTick: 9,3  TickEntities: 20,8  TickTileEntities: 0,0  Tracker: 3,2  Chunk: 0,0  Players: 1  
2 11:14:11 OverAll: 5,3  DoTick: 1,6  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 2  
3 11:14:26 OverAll: 9,0  DoTick: 3,9  TickEntities: 4,0  TickTileEntities: 0,0  Tracker: 0,9  Chunk: 0,0  Players: 2  
4 11:14:56 OverAll: 4,8  DoTick: 2,5  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
5 11:15:26 OverAll: 4,7  DoTick: 2,5  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
6 11:15:56 OverAll: 4,8  DoTick: 2,4  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
7 11:16:26 OverAll: 4,9  DoTick: 2,2  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
8 11:16:56 OverAll: 4,6  DoTick: 1,9  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
9 11:17:26 OverAll: 4,8  DoTick: 2,1  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
10 11:17:56 OverAll: 4,8  DoTick: 2,1  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 11:18:26 OverAll: 4,5  DoTick: 2,1  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 11:18:56 OverAll: 4,0  DoTick: 1,9  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
13 11:19:26 OverAll: 4,3  DoTick: 1,9  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
14 11:19:56 OverAll: 3,9  DoTick: 1,8  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
15 11:20:26 OverAll: 3,8  DoTick: 1,8  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
16 11:20:56 OverAll: 3,7  DoTick: 1,8  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
17 11:21:26 OverAll: 3,5  DoTick: 1,7  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 11:21:56 OverAll: 3,6  DoTick: 1,8  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
19 11:22:26 OverAll: 3,4  DoTick: 1,7  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 11:22:56 OverAll: 3,4  DoTick: 1,7  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
21 11:23:26 OverAll: 3,3  DoTick: 1,7  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
22 11:23:56 OverAll: 3,5  DoTick: 1,8  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
23 11:24:26 OverAll: 3,8  DoTick: 2,0  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
24 11:24:56 OverAll: 3,9  DoTick: 2,0  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
25 11:25:26 OverAll: 4,0  DoTick: 2,0  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
26 11:25:56 OverAll: 3,8  DoTick: 2,0  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
27 11:26:26 OverAll: 4,1  DoTick: 2,1  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
28 11:26:56 OverAll: 4,4  DoTick: 2,1  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
29 11:27:26 OverAll: 4,3  DoTick: 1,9  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
30 11:27:56 OverAll: 4,0  DoTick: 2,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
31 11:28:26 OverAll: 4,0  DoTick: 2,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
32 11:28:56 OverAll: 3,7  DoTick: 1,9  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
33 11:29:26 OverAll: 3,7  DoTick: 1,8  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
34 11:29:56 OverAll: 4,0  DoTick: 1,9  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
35 11:30:26 OverAll: 3,9  DoTick: 2,0  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
36 11:30:56 OverAll: 3,8  DoTick: 1,9  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
37 11:31:26 OverAll: 3,8  DoTick: 1,9  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
38 11:31:56 OverAll: 3,7  DoTick: 1,9  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
39 11:32:26 OverAll: 4,1  DoTick: 2,1  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
40 11:32:56 OverAll: 4,2  DoTick: 2,1  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
41 11:33:26 OverAll: 4,3  DoTick: 2,0  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
42 11:33:56 OverAll: 3,7  DoTick: 1,8  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
43 11:34:26 OverAll: 3,9  DoTick: 1,9  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
44 11:34:56 OverAll: 3,8  DoTick: 1,7  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
45 11:35:26 OverAll: 3,4  DoTick: 1,6  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
46 11:35:56 OverAll: 3,3  DoTick: 1,4  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
47 11:36:26 OverAll: 3,3  DoTick: 1,5  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
48 11:36:56 OverAll: 3,3  DoTick: 1,5  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
49 11:37:26 OverAll: 3,6  DoTick: 1,8  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
50 11:37:56 OverAll: 3,6  DoTick: 1,9  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
51 11:38:26 OverAll: 4,1  DoTick: 2,2  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
52 11:38:56 OverAll: 4,0  DoTick: 2,0  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
53 11:39:26 OverAll: 4,1  DoTick: 2,0  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
54 11:39:56 OverAll: 4,1  DoTick: 1,9  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
55 11:40:26 OverAll: 4,7  DoTick: 2,4  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
56 11:40:56 OverAll: 4,4  DoTick: 2,4  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
57 11:41:26 OverAll: 4,3  DoTick: 2,3  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
58 11:41:56 OverAll: 4,0  DoTick: 2,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
59 11:42:26 OverAll: 3,8  DoTick: 1,8  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
60 11:42:56 OverAll: 3,4  DoTick: 1,6  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
61 11:43:26 OverAll: 3,6  DoTick: 1,7  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
62 11:43:56 OverAll: 3,6  DoTick: 1,8  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
63 11:44:26 OverAll: 3,8  DoTick: 2,0  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
64 11:44:56 OverAll: 4,8  DoTick: 2,5  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
65 11:45:26 OverAll: 4,7  DoTick: 2,1  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
66 11:45:56 OverAll: 4,4  DoTick: 2,1  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
67 11:46:26 OverAll: 3,0  DoTick: 1,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
68 11:46:56 OverAll: 2,3  DoTick: 0,9  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
69 11:47:26 OverAll: 2,3  DoTick: 0,9  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
70 11:47:56 OverAll: 2,1  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
71 11:48:26 OverAll: 2,1  DoTick: 0,9  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
72 11:48:56 OverAll: 2,1  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
73 11:49:26 OverAll: 2,3  DoTick: 0,9  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
74 11:49:56 OverAll: 2,2  DoTick: 0,9  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
75 11:50:26 OverAll: 4,3  DoTick: 2,2  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
76 11:50:56 OverAll: 4,5  DoTick: 2,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
77 11:51:26 OverAll: 4,4  DoTick: 2,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
78 11:51:56 OverAll: 5,1  DoTick: 2,6  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
