1 15:49:00 OverAll: 32,8  DoTick: 8,0  TickEntities: 22,6  TickTileEntities: 0,0  Tracker: 2,1  Chunk: 0,0  Players: 1  
2 15:49:09 OverAll: 7,2  DoTick: 2,8  TickEntities: 3,2  TickTileEntities: 0,0  Tracker: 1,1  Chunk: 0,0  Players: 2  
3 15:49:21 OverAll: 9,2  DoTick: 3,0  TickEntities: 3,8  TickTileEntities: 0,0  Tracker: 2,4  Chunk: 0,0  Players: 2  
4 15:49:51 OverAll: 5,7  DoTick: 3,4  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
5 15:50:21 OverAll: 5,4  DoTick: 2,9  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
6 15:50:51 OverAll: 5,4  DoTick: 2,6  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
7 15:51:21 OverAll: 5,3  DoTick: 2,5  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
8 15:51:51 OverAll: 6,1  DoTick: 2,7  TickEntities: 2,9  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
9 15:52:21 OverAll: 5,6  DoTick: 2,4  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
10 15:52:51 OverAll: 6,3  DoTick: 2,7  TickEntities: 3,1  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
11 15:53:21 OverAll: 5,2  DoTick: 1,8  TickEntities: 2,9  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
12 15:53:51 OverAll: 3,5  DoTick: 0,7  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
13 15:54:21 OverAll: 5,2  DoTick: 2,0  TickEntities: 2,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
14 15:54:51 OverAll: 3,3  DoTick: 1,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
15 15:55:21 OverAll: 3,0  DoTick: 0,1  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
16 15:55:51 OverAll: 4,1  DoTick: 0,6  TickEntities: 3,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
17 15:56:21 OverAll: 3,0  DoTick: 0,1  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
18 15:56:51 OverAll: 3,5  DoTick: 0,1  TickEntities: 2,9  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
19 15:57:21 OverAll: 4,9  DoTick: 1,8  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
20 15:57:51 OverAll: 5,1  DoTick: 1,6  TickEntities: 2,9  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
21 15:58:21 OverAll: 4,7  DoTick: 1,7  TickEntities: 2,6  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
22 15:58:51 OverAll: 3,9  DoTick: 1,1  TickEntities: 2,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
23 15:59:21 OverAll: 4,6  DoTick: 0,6  TickEntities: 3,4  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 2  
24 15:59:51 OverAll: 3,7  DoTick: 0,1  TickEntities: 3,1  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
25 16:00:21 OverAll: 5,4  DoTick: 0,4  TickEntities: 4,0  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 2  
26 16:00:51 OverAll: 4,7  DoTick: 0,1  TickEntities: 4,1  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
27 16:01:21 OverAll: 2,9  DoTick: 0,1  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
28 16:01:51 OverAll: 2,8  DoTick: 0,1  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
29 16:02:21 OverAll: 2,9  DoTick: 0,1  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
