1 15:51:49 OverAll: 13,9  DoTick: 4,8  TickEntities: 7,4  TickTileEntities: 0,0  Tracker: 1,6  Chunk: 0,0  Players: 1  
2 15:52:35 OverAll: 5,4  DoTick: 2,2  TickEntities: 3,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
3 15:53:23 OverAll: 7,3  DoTick: 5,2  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
4 15:54:09 OverAll: 4,7  DoTick: 3,1  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
5 15:54:32 OverAll: 3,6  DoTick: 2,0  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
6 15:54:32 OverAll: 0,7  DoTick: 0,2  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
7 15:54:33 OverAll: 0,5  DoTick: 0,1  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
8 15:54:49 OverAll: 2,3  DoTick: 1,5  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
9 15:55:19 OverAll: 3,2  DoTick: 1,8  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
10 15:55:49 OverAll: 3,0  DoTick: 1,8  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
11 15:56:19 OverAll: 2,3  DoTick: 1,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 15:56:49 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
13 15:57:19 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
14 15:57:49 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
15 15:58:19 OverAll: 1,7  DoTick: 0,3  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 2  
16 15:58:49 OverAll: 1,9  DoTick: 0,2  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
17 15:59:19 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 15:59:49 OverAll: 1,6  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
