1 22:31:44 OverAll: 9,0  DoTick: 2,9  TickEntities: 5,4  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 0  
2 22:32:30 OverAll: 5,7  DoTick: 1,6  TickEntities: 3,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
3 22:33:19 OverAll: 9,4  DoTick: 5,6  TickEntities: 3,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
4 22:34:08 OverAll: 5,6  DoTick: 3,3  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
5 22:34:28 OverAll: 3,6  DoTick: 1,7  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
6 22:34:29 OverAll: 0,3  DoTick: 0,0  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
7 22:34:30 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
8 22:34:52 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
9 22:35:22 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
10 22:35:52 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
11 22:36:22 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
12 22:36:52 OverAll: 3,9  DoTick: 1,4  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
13 22:37:22 OverAll: 2,2  DoTick: 0,8  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
14 22:37:52 OverAll: 2,1  DoTick: 0,8  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 22:38:22 OverAll: 2,1  DoTick: 0,8  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
16 22:38:52 OverAll: 3,1  DoTick: 1,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
17 22:39:22 OverAll: 1,9  DoTick: 0,7  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 22:39:52 OverAll: 1,8  DoTick: 0,6  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 22:40:22 OverAll: 1,8  DoTick: 0,6  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 22:40:52 OverAll: 1,8  DoTick: 0,6  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
