1 11:25:58 OverAll: 9,2  DoTick: 3,3  TickEntities: 5,1  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
2 11:26:45 OverAll: 6,7  DoTick: 1,7  TickEntities: 4,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
3 11:27:34 OverAll: 11,2  DoTick: 5,9  TickEntities: 4,8  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
4 11:28:20 OverAll: 5,5  DoTick: 3,5  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
5 11:28:41 OverAll: 3,1  DoTick: 1,5  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
6 11:28:42 OverAll: 1,4  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 1  
7 11:28:44 OverAll: 1,7  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
8 11:29:06 OverAll: 1,4  DoTick: 0,1  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
9 11:29:36 OverAll: 1,3  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
10 11:30:06 OverAll: 1,3  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
11 11:30:36 OverAll: 1,3  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 11:31:06 OverAll: 1,9  DoTick: 0,4  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
13 11:31:36 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 11:32:06 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
15 11:32:36 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 11:33:06 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
17 11:33:36 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
18 11:34:06 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
19 11:34:36 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 11:35:06 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
21 11:35:36 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
22 11:36:06 OverAll: 0,9  DoTick: 0,1  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
23 11:36:36 OverAll: 1,1  DoTick: 0,2  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
24 11:37:06 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
25 11:37:36 OverAll: 1,3  DoTick: 0,2  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
