1 09:20:19 OverAll: 8,0  DoTick: 2,8  TickEntities: 4,6  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 0  
2 09:21:00 OverAll: 7,8  DoTick: 3,7  TickEntities: 3,4  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 0  
3 09:21:03 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
4 09:21:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
5 09:22:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
6 09:22:33 OverAll: 4,0  DoTick: 1,1  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 0  
7 09:23:03 OverAll: 3,2  DoTick: 0,4  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
8 09:23:33 OverAll: 2,1  DoTick: 0,1  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
9 09:24:03 OverAll: 2,1  DoTick: 0,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
10 09:24:33 OverAll: 3,4  DoTick: 0,3  TickEntities: 2,4  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 1  
11 09:25:03 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
12 09:25:33 OverAll: 1,4  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
13 09:26:03 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
14 09:26:33 OverAll: 1,3  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 09:27:03 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
16 09:27:33 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 09:28:03 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 09:28:33 OverAll: 1,4  DoTick: 0,0  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 09:29:03 OverAll: 1,3  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
20 09:29:33 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
21 09:30:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
22 09:30:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
23 09:31:03 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
24 09:31:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
25 09:32:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
26 09:32:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
27 09:33:03 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
28 09:33:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
29 09:34:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
30 09:34:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
31 09:35:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
32 09:35:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
33 09:36:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
34 09:36:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
35 09:37:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
36 09:37:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
37 09:38:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
38 09:38:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
39 09:39:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
40 09:39:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
41 09:40:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
42 09:40:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
43 09:41:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
44 09:41:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
45 09:42:03 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
46 09:42:33 OverAll: 1,3  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
47 09:43:03 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
48 09:43:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
49 09:44:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
50 09:44:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
51 09:45:03 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
52 09:45:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
53 09:46:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
54 09:46:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
55 09:47:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
56 09:47:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
57 09:48:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
58 09:48:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
59 09:49:03 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
60 09:49:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
61 09:50:03 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
62 09:50:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
63 09:51:03 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
64 09:51:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
65 09:52:03 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
66 09:52:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
67 09:53:03 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
68 09:53:33 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
69 09:54:03 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
70 09:54:33 OverAll: 1,0  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
71 09:55:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
72 09:55:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
73 09:56:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
74 09:56:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
75 09:57:03 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
76 09:57:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
77 09:58:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
78 09:58:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
79 09:59:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
80 09:59:33 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
81 10:00:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
82 10:00:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
83 10:01:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
84 10:01:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
85 10:02:03 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
86 10:02:33 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
87 10:03:03 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
88 10:03:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
89 10:04:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
90 10:04:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
91 10:05:03 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
92 10:05:33 OverAll: 1,1  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
93 10:06:03 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
94 10:06:33 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
95 10:07:03 OverAll: 1,3  DoTick: 0,1  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
96 10:07:33 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
97 10:08:03 OverAll: 0,3  DoTick: 0,0  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
