8 12:15:04 OverAll: 320,8  DoTick: 237,3  TickEntities: 82,1  TickTileEntities: 0,0  Tracker: 1,2  Chunk: 0,0  Players: 0  
9 12:15:24 OverAll: 3,9  DoTick: 1,7  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
10 12:16:10 OverAll: 4,5  DoTick: 1,6  TickEntities: 2,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
11 12:16:31 OverAll: 4,5  DoTick: 2,0  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
12 12:16:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
13 12:17:02 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
14 12:17:32 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
15 12:18:02 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
16 12:18:32 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
17 12:19:02 OverAll: 1,0  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
18 12:19:32 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
19 12:20:02 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
20 12:20:32 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
21 12:21:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
22 12:21:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
23 12:22:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
24 12:22:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
25 12:23:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
26 12:23:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
27 12:24:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
28 12:24:32 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
29 12:25:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
30 12:25:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
31 12:26:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
32 12:26:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
33 12:27:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
34 12:27:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
35 12:28:02 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
36 12:28:32 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
