7 15:07:36 OverAll: 30,4  DoTick: 27,8  TickEntities: 1,9  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 0  
8 15:07:55 OverAll: 2,7  DoTick: 1,1  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
9 15:08:41 OverAll: 3,5  DoTick: 1,6  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
10 15:09:31 OverAll: 7,5  DoTick: 4,6  TickEntities: 2,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
11 15:09:56 OverAll: 2,5  DoTick: 1,4  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
12 15:09:57 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
13 15:09:58 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
14 15:10:28 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
15 15:10:58 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
16 15:11:28 OverAll: 2,9  DoTick: 0,7  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 1  
17 15:11:58 OverAll: 1,8  DoTick: 0,2  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
18 15:12:28 OverAll: 2,5  DoTick: 0,1  TickEntities: 2,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
19 15:12:58 OverAll: 2,3  DoTick: 0,3  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 15:13:28 OverAll: 2,3  DoTick: 0,2  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
