1 10:33:20 OverAll: 63,2  DoTick: 38,9  TickEntities: 20,7  TickTileEntities: 0,0  Tracker: 3,4  Chunk: 0,0  Players: 0  
2 10:34:12 OverAll: 7,2  DoTick: 2,8  TickEntities: 4,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
3 10:34:49 OverAll: 4,8  DoTick: 1,4  TickEntities: 3,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
4 10:34:51 OverAll: 2,2  DoTick: 1,4  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
5 10:35:03 OverAll: 1,4  DoTick: 0,2  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
6 10:35:33 OverAll: 1,3  DoTick: 0,1  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
7 10:36:03 OverAll: 1,9  DoTick: 0,1  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
8 10:36:33 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
9 10:37:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
10 10:37:33 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
11 10:38:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
12 10:38:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
13 10:39:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
14 10:39:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
15 10:40:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
16 10:40:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
17 10:41:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
18 10:41:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
19 10:42:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
20 10:42:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
21 10:43:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
22 10:43:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
23 10:44:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
24 10:44:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
25 10:45:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
26 10:45:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
27 10:46:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
28 10:46:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
29 10:47:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
30 10:47:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
31 10:48:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
32 10:48:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
33 10:49:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
34 10:49:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
35 10:50:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
36 10:50:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
37 10:51:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
38 10:51:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
39 10:52:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
40 10:52:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
41 10:53:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
42 10:53:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
43 10:54:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
44 10:54:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
45 10:55:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
46 10:55:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
47 10:56:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
48 10:56:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
49 10:57:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
50 10:57:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
51 10:58:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
52 10:58:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
53 10:59:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
54 10:59:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
55 11:00:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
56 11:00:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
57 11:01:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
58 11:01:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
59 11:02:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
60 11:02:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
61 11:03:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
62 11:03:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
63 11:04:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
64 11:04:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
65 11:05:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
66 11:05:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
67 11:06:03 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
68 11:06:33 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
69 11:07:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
70 11:07:33 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
71 11:08:03 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
