15 12:51:38 OverAll: 74,7  DoTick: 74,3  TickEntities: 0,1  TickTileEntities: 0,1  Tracker: 0,1  Chunk: 0,0  Players: 0  
16 12:51:40 OverAll: 2,5  DoTick: 1,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
17 12:52:05 OverAll: 1,7  DoTick: 0,4  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
18 12:52:35 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 12:53:05 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
20 12:53:35 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
21 12:54:05 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
22 12:54:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
23 12:55:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
24 12:55:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
25 12:56:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
26 12:56:35 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
27 12:57:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
28 12:57:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
29 12:58:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
30 12:58:35 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
31 12:59:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
32 12:59:35 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
33 13:00:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
34 13:00:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
35 13:01:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
36 13:01:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
37 13:02:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
38 13:02:35 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
39 13:03:05 OverAll: 0,5  DoTick: 0,1  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
40 13:03:35 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
41 13:04:05 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
42 13:04:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
43 13:05:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
44 13:05:35 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
45 13:06:05 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
46 13:06:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
47 13:07:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
48 13:07:35 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
49 13:08:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
50 13:08:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
51 13:09:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
52 13:09:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
53 13:10:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
54 13:10:35 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
55 13:11:05 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
56 13:11:35 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
57 13:12:05 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,2  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
58 13:12:35 OverAll: 0,4  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
59 13:13:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
60 13:13:35 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
61 13:14:05 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
62 13:14:35 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
