4 13:27:38 OverAll: 116,2  DoTick: 96,6  TickEntities: 18,7  TickTileEntities: 0,0  Tracker: 0,8  Chunk: 0,0  Players: 0  
5 13:28:05 OverAll: 4,1  DoTick: 2,0  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
6 13:28:51 OverAll: 2,3  DoTick: 1,7  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
7 13:29:07 OverAll: 1,3  DoTick: 0,7  TickEntities: 0,4  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
8 13:29:09 OverAll: 2,3  DoTick: 2,0  TickEntities: 0,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
9 13:29:34 OverAll: 4,0  DoTick: 0,6  TickEntities: 2,6  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
10 13:30:04 OverAll: 1,7  DoTick: 0,1  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 13:30:34 OverAll: 1,8  DoTick: 0,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
12 13:31:04 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
13 13:31:34 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
14 13:32:04 OverAll: 1,6  DoTick: 0,1  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
15 13:32:34 OverAll: 1,4  DoTick: 0,1  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
16 13:33:04 OverAll: 1,4  DoTick: 0,1  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
17 13:33:34 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
18 13:34:04 OverAll: 1,6  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
19 13:34:34 OverAll: 1,6  DoTick: 0,2  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 13:35:04 OverAll: 1,4  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
