3 13:48:20 OverAll: 118,4  DoTick: 112,7  TickEntities: 5,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
4 13:48:25 OverAll: 3,4  DoTick: 1,2  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
5 13:48:55 OverAll: 3,7  DoTick: 0,6  TickEntities: 2,3  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
6 13:49:25 OverAll: 2,6  DoTick: 0,2  TickEntities: 2,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
7 13:49:55 OverAll: 1,9  DoTick: 0,1  TickEntities: 1,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
8 13:50:25 OverAll: 1,4  DoTick: 0,0  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
9 13:50:55 OverAll: 1,6  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
10 13:51:25 OverAll: 1,4  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
11 13:51:55 OverAll: 2,1  DoTick: 0,1  TickEntities: 1,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
12 13:52:25 OverAll: 1,7  DoTick: 0,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
13 13:52:55 OverAll: 1,9  DoTick: 0,0  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
14 13:53:25 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
15 13:53:55 OverAll: 1,1  DoTick: 0,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
16 13:54:25 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
17 13:54:55 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
18 13:55:25 OverAll: 0,9  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 1  
19 13:55:55 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,6  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
20 13:56:25 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,7  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 1  
