1 19:00:44 OverAll: 171,4  DoTick: 170,9  TickEntities: 0,2  TickTileEntities: 0,1  Tracker: 0,2  Chunk: 0,0  Players: 0  
2 19:00:52 OverAll: 3,6  DoTick: 1,6  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 0  
3 19:01:05 OverAll: 1,2  DoTick: 0,5  TickEntities: 0,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
4 19:01:35 OverAll: 5,4  DoTick: 1,2  TickEntities: 3,4  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 1  
5 19:02:05 OverAll: 2,3  DoTick: 0,2  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 2  
6 19:02:35 OverAll: 1,4  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
7 19:03:05 OverAll: 1,2  DoTick: 0,1  TickEntities: 0,8  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
8 19:03:35 OverAll: 2,0  DoTick: 0,2  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
9 19:04:05 OverAll: 1,5  DoTick: 0,1  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
10 19:04:35 OverAll: 1,9  DoTick: 0,3  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
11 19:05:05 OverAll: 3,2  DoTick: 0,4  TickEntities: 2,2  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 2  
12 19:05:35 OverAll: 2,1  DoTick: 0,1  TickEntities: 1,6  TickTileEntities: 0,0  Tracker: 0,4  Chunk: 0,0  Players: 2  
13 19:06:05 OverAll: 1,8  DoTick: 0,1  TickEntities: 1,3  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
14 19:06:35 OverAll: 1,7  DoTick: 0,1  TickEntities: 1,2  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
15 19:07:05 OverAll: 1,7  DoTick: 0,0  TickEntities: 1,4  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
16 19:07:35 OverAll: 2,0  DoTick: 0,1  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
17 19:08:05 OverAll: 1,9  DoTick: 0,0  TickEntities: 1,5  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 1  
18 19:08:35 OverAll: 1,4  DoTick: 0,0  TickEntities: 1,1  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 2  
19 19:09:05 OverAll: 1,2  DoTick: 0,0  TickEntities: 1,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 2  
20 19:09:35 OverAll: 3,9  DoTick: 0,0  TickEntities: 3,4  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 2  
