1 21:45:29 OverAll: 4,7  DoTick: 1,0  TickEntities: 0,9  TickTileEntities: 0,0  Tracker: 2,7  Chunk: 0,0  Players: 0  
2 21:45:59 OverAll: 0,3  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,3  Chunk: 0,0  Players: 0  
3 21:46:29 OverAll: 0,2  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
4 21:46:59 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
5 21:47:29 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
6 21:47:59 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,6  Chunk: 0,0  Players: 0  
7 21:48:29 OverAll: 0,6  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 0  
8 21:48:59 OverAll: 0,3  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,2  Chunk: 0,0  Players: 0  
9 21:49:29 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
10 21:49:59 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
11 21:50:29 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
12 21:50:59 OverAll: 0,7  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
13 21:51:29 OverAll: 0,5  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,5  Chunk: 0,0  Players: 0  
14 21:51:59 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
15 21:52:29 OverAll: 0,0  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,0  Chunk: 0,0  Players: 0  
16 21:52:59 OverAll: 0,2  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
17 21:53:29 OverAll: 0,8  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,7  Chunk: 0,0  Players: 0  
18 21:53:59 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
19 21:54:29 OverAll: 0,1  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
20 21:54:59 OverAll: 0,2  DoTick: 0,0  TickEntities: 0,0  TickTileEntities: 0,0  Tracker: 0,1  Chunk: 0,0  Players: 0  
