1 15:45:09 Avg: 5,8  Max: 926,1  AvgCalls: 1  Players: 1  
2 15:45:39 Avg: 1,8  Max: 27,1  AvgCalls: 1  Players: 1  
3 15:46:09 Avg: 2,3  Max: 604,7  AvgCalls: 1  Players: 2  
4 15:46:39 Avg: 1,0  Max: 6,2  AvgCalls: 1  Players: 1  
5 15:47:09 Avg: 0,4  Max: 7,0  AvgCalls: 1  Players: 0  
6 15:47:39 Avg: 2,9  Max: 23,8  AvgCalls: 1  Players: 0  
7 15:48:09 Avg: 0,6  Max: 18,8  AvgCalls: 1  Players: 0  
8 15:48:39 Avg: 0,6  Max: 17,9  AvgCalls: 1  Players: 0  
9 15:49:09 Avg: 1,9  Max: 68,7  AvgCalls: 1  Players: 0  
10 15:49:39 Avg: 0,7  Max: 57,0  AvgCalls: 1  Players: 0  
11 15:50:09 Avg: 0,4  Max: 8,7  AvgCalls: 1  Players: 0  
12 15:50:39 Avg: 0,4  Max: 4,8  AvgCalls: 1  Players: 0  
13 15:51:09 Avg: 0,4  Max: 5,4  AvgCalls: 1  Players: 0  
14 15:51:39 Avg: 0,4  Max: 6,9  AvgCalls: 1  Players: 0  
15 15:52:09 Avg: 0,3  Max: 5,8  AvgCalls: 1  Players: 0  
16 15:52:39 Avg: 0,3  Max: 6,1  AvgCalls: 1  Players: 0  
17 15:53:09 Avg: 0,4  Max: 5,4  AvgCalls: 1  Players: 0  
18 15:53:39 Avg: 0,3  Max: 5,2  AvgCalls: 1  Players: 0  
19 15:54:09 Avg: 0,4  Max: 8,8  AvgCalls: 1  Players: 0  
20 15:54:39 Avg: 0,8  Max: 44,0  AvgCalls: 1  Players: 0  
21 15:55:09 Avg: 1,0  Max: 6,4  AvgCalls: 1  Players: 1  
22 15:55:39 Avg: 1,2  Max: 12,5  AvgCalls: 1  Players: 1  
23 15:56:09 Avg: 1,2  Max: 8,5  AvgCalls: 1  Players: 2  
24 15:56:39 Avg: 1,1  Max: 13,4  AvgCalls: 1  Players: 1  
25 15:57:09 Avg: 1,7  Max: 29,2  AvgCalls: 1  Players: 2  
26 15:57:39 Avg: 1,3  Max: 7,0  AvgCalls: 1  Players: 2  
27 15:58:09 Avg: 1,3  Max: 13,2  AvgCalls: 1  Players: 3  
28 15:58:39 Avg: 1,3  Max: 6,8  AvgCalls: 1  Players: 3  
29 15:59:09 Avg: 1,3  Max: 8,5  AvgCalls: 1  Players: 3  
30 15:59:39 Avg: 1,2  Max: 12,8  AvgCalls: 1  Players: 3  
31 16:00:09 Avg: 1,2  Max: 5,3  AvgCalls: 1  Players: 3  
32 16:00:39 Avg: 1,2  Max: 9,0  AvgCalls: 1  Players: 3  
33 16:01:09 Avg: 1,2  Max: 5,0  AvgCalls: 1  Players: 3  
34 16:01:39 Avg: 1,3  Max: 5,6  AvgCalls: 1  Players: 3  
35 16:02:09 Avg: 1,2  Max: 8,9  AvgCalls: 1  Players: 3  
36 16:02:39 Avg: 1,2  Max: 5,0  AvgCalls: 1  Players: 3  
37 16:03:09 Avg: 1,2  Max: 7,9  AvgCalls: 1  Players: 3  
38 16:03:39 Avg: 1,2  Max: 9,6  AvgCalls: 1  Players: 3  
39 16:04:09 Avg: 1,2  Max: 7,4  AvgCalls: 1  Players: 3  
40 16:04:39 Avg: 1,2  Max: 18,5  AvgCalls: 1  Players: 3  
41 16:05:09 Avg: 1,2  Max: 39,3  AvgCalls: 1  Players: 3  
42 16:05:39 Avg: 1,2  Max: 5,0  AvgCalls: 1  Players: 3  
43 16:06:09 Avg: 1,2  Max: 8,6  AvgCalls: 1  Players: 3  
44 16:06:39 Avg: 1,2  Max: 7,5  AvgCalls: 1  Players: 3  
45 16:07:09 Avg: 1,2  Max: 6,0  AvgCalls: 1  Players: 3  
46 16:07:39 Avg: 1,3  Max: 8,5  AvgCalls: 1  Players: 2  
47 16:08:09 Avg: 1,1  Max: 10,9  AvgCalls: 1  Players: 2  
48 16:08:39 Avg: 1,1  Max: 24,4  AvgCalls: 1  Players: 2  
49 16:09:09 Avg: 1,2  Max: 9,1  AvgCalls: 1  Players: 2  
50 16:09:39 Avg: 1,1  Max: 10,7  AvgCalls: 1  Players: 2  
51 16:10:09 Avg: 1,1  Max: 7,6  AvgCalls: 1  Players: 2  
52 16:10:39 Avg: 1,1  Max: 5,0  AvgCalls: 1  Players: 2  
53 16:11:09 Avg: 1,1  Max: 4,9  AvgCalls: 1  Players: 2  
54 16:11:39 Avg: 1,2  Max: 6,6  AvgCalls: 1  Players: 2  
55 16:12:09 Avg: 1,2  Max: 37,3  AvgCalls: 1  Players: 2  
56 16:12:39 Avg: 1,1  Max: 15,7  AvgCalls: 1  Players: 2  
57 16:13:09 Avg: 1,2  Max: 8,7  AvgCalls: 1  Players: 2  
58 16:13:39 Avg: 1,2  Max: 13,4  AvgCalls: 1  Players: 2  
59 16:14:09 Avg: 1,2  Max: 9,0  AvgCalls: 1  Players: 2  
60 16:14:39 Avg: 1,3  Max: 11,7  AvgCalls: 1  Players: 2  
61 16:15:09 Avg: 1,4  Max: 13,1  AvgCalls: 1  Players: 3  
62 16:15:39 Avg: 1,4  Max: 29,9  AvgCalls: 1  Players: 3  
63 16:16:09 Avg: 1,4  Max: 8,1  AvgCalls: 1  Players: 3  
64 16:16:39 Avg: 1,4  Max: 24,2  AvgCalls: 1  Players: 3  
65 16:17:09 Avg: 1,4  Max: 5,9  AvgCalls: 1  Players: 3  
66 16:17:39 Avg: 1,3  Max: 6,8  AvgCalls: 1  Players: 3  
67 16:18:09 Avg: 1,6  Max: 30,4  AvgCalls: 1  Players: 3  
68 16:18:39 Avg: 1,4  Max: 12,9  AvgCalls: 1  Players: 3  
69 16:19:09 Avg: 1,4  Max: 6,7  AvgCalls: 1  Players: 3  
70 16:19:39 Avg: 1,3  Max: 9,1  AvgCalls: 1  Players: 3  
71 16:20:09 Avg: 1,3  Max: 8,9  AvgCalls: 1  Players: 3  
72 16:20:39 Avg: 1,3  Max: 10,9  AvgCalls: 1  Players: 3  
73 16:21:09 Avg: 1,4  Max: 33,3  AvgCalls: 1  Players: 3  
74 16:21:39 Avg: 1,3  Max: 15,1  AvgCalls: 1  Players: 3  
75 16:22:09 Avg: 1,4  Max: 34,3  AvgCalls: 1  Players: 3  
76 16:22:39 Avg: 1,3  Max: 39,0  AvgCalls: 1  Players: 3  
77 16:23:09 Avg: 1,3  Max: 8,3  AvgCalls: 1  Players: 3  
78 16:23:39 Avg: 1,4  Max: 27,6  AvgCalls: 1  Players: 3  
79 16:24:09 Avg: 1,4  Max: 8,9  AvgCalls: 1  Players: 3  
80 16:24:39 Avg: 1,4  Max: 16,7  AvgCalls: 1  Players: 2  
81 16:25:09 Avg: 1,2  Max: 7,4  AvgCalls: 1  Players: 2  
82 16:25:39 Avg: 1,2  Max: 5,8  AvgCalls: 1  Players: 2  
83 16:26:09 Avg: 1,2  Max: 18,1  AvgCalls: 1  Players: 2  
84 16:26:39 Avg: 1,3  Max: 34,1  AvgCalls: 1  Players: 2  
85 16:27:09 Avg: 1,3  Max: 61,9  AvgCalls: 1  Players: 2  
86 16:27:39 Avg: 1,3  Max: 19,0  AvgCalls: 1  Players: 2  
87 16:28:09 Avg: 1,2  Max: 5,6  AvgCalls: 1  Players: 2  
88 16:28:39 Avg: 1,4  Max: 56,9  AvgCalls: 1  Players: 2  
89 16:29:09 Avg: 1,3  Max: 14,2  AvgCalls: 1  Players: 2  
90 16:29:39 Avg: 1,3  Max: 16,1  AvgCalls: 1  Players: 2  
91 16:30:09 Avg: 1,3  Max: 7,2  AvgCalls: 1  Players: 2  
92 16:30:39 Avg: 1,3  Max: 9,7  AvgCalls: 1  Players: 2  
93 16:31:09 Avg: 1,4  Max: 17,5  AvgCalls: 1  Players: 2  
94 16:31:39 Avg: 1,4  Max: 8,9  AvgCalls: 1  Players: 2  
95 16:32:09 Avg: 1,8  Max: 18,9  AvgCalls: 1  Players: 2  
96 16:32:39 Avg: 1,5  Max: 17,7  AvgCalls: 1  Players: 2  
97 16:33:09 Avg: 1,5  Max: 35,5  AvgCalls: 1  Players: 2  
98 16:33:39 Avg: 1,5  Max: 17,6  AvgCalls: 1  Players: 2  
99 16:34:09 Avg: 1,3  Max: 16,3  AvgCalls: 1  Players: 2  
100 16:34:39 Avg: 1,6  Max: 63,4  AvgCalls: 1  Players: 2  
101 16:35:09 Avg: 1,3  Max: 26,0  AvgCalls: 1  Players: 2  
102 16:35:39 Avg: 1,3  Max: 16,7  AvgCalls: 1  Players: 2  
103 16:36:09 Avg: 1,3  Max: 16,4  AvgCalls: 1  Players: 2  
104 16:36:39 Avg: 1,3  Max: 15,4  AvgCalls: 1  Players: 2  
105 16:37:09 Avg: 1,4  Max: 21,5  AvgCalls: 1  Players: 2  
106 16:37:39 Avg: 1,4  Max: 14,8  AvgCalls: 1  Players: 2  
107 16:38:09 Avg: 1,4  Max: 16,7  AvgCalls: 1  Players: 2  
108 16:38:39 Avg: 1,3  Max: 16,2  AvgCalls: 1  Players: 2  
109 16:39:09 Avg: 1,5  Max: 29,2  AvgCalls: 1  Players: 2  
110 16:39:39 Avg: 1,4  Max: 17,5  AvgCalls: 1  Players: 2  
111 16:40:09 Avg: 1,4  Max: 43,6  AvgCalls: 1  Players: 2  
112 16:40:39 Avg: 1,6  Max: 24,1  AvgCalls: 1  Players: 2  
113 16:41:09 Avg: 1,6  Max: 37,2  AvgCalls: 1  Players: 2  
114 16:41:39 Avg: 1,5  Max: 29,9  AvgCalls: 1  Players: 2  
115 16:42:09 Avg: 1,4  Max: 16,5  AvgCalls: 1  Players: 2  
116 16:42:39 Avg: 1,3  Max: 7,1  AvgCalls: 1  Players: 2  
117 16:43:09 Avg: 1,4  Max: 19,5  AvgCalls: 1  Players: 2  
118 16:43:39 Avg: 1,4  Max: 12,9  AvgCalls: 1  Players: 2  
119 16:44:09 Avg: 1,4  Max: 20,7  AvgCalls: 1  Players: 2  
120 16:44:39 Avg: 1,3  Max: 18,8  AvgCalls: 1  Players: 2  
121 16:45:09 Avg: 1,4  Max: 19,2  AvgCalls: 1  Players: 2  
122 16:45:39 Avg: 1,3  Max: 22,2  AvgCalls: 1  Players: 2  
123 16:46:09 Avg: 1,3  Max: 19,3  AvgCalls: 1  Players: 2  
124 16:46:39 Avg: 1,2  Max: 16,3  AvgCalls: 1  Players: 2  
125 16:47:09 Avg: 1,3  Max: 5,7  AvgCalls: 1  Players: 2  
126 16:47:39 Avg: 1,4  Max: 10,0  AvgCalls: 1  Players: 2  
127 16:48:09 Avg: 1,3  Max: 8,6  AvgCalls: 1  Players: 2  
128 16:48:39 Avg: 1,2  Max: 9,2  AvgCalls: 1  Players: 2  
129 16:49:09 Avg: 1,3  Max: 25,1  AvgCalls: 1  Players: 2  
130 16:49:39 Avg: 1,3  Max: 6,1  AvgCalls: 1  Players: 2  
131 16:50:09 Avg: 1,4  Max: 6,8  AvgCalls: 1  Players: 2  
132 16:50:39 Avg: 1,3  Max: 9,3  AvgCalls: 1  Players: 1  
133 16:51:09 Avg: 1,2  Max: 6,2  AvgCalls: 1  Players: 1  
134 16:51:39 Avg: 1,2  Max: 14,5  AvgCalls: 1  Players: 0  
135 16:52:09 Avg: 0,7  Max: 25,7  AvgCalls: 1  Players: 0  
136 16:52:39 Avg: 0,7  Max: 7,1  AvgCalls: 1  Players: 0  
137 16:53:09 Avg: 0,6  Max: 5,3  AvgCalls: 1  Players: 0  
138 16:53:39 Avg: 0,7  Max: 7,8  AvgCalls: 1  Players: 0  
139 16:54:09 Avg: 0,6  Max: 5,0  AvgCalls: 1  Players: 0  
140 16:54:39 Avg: 0,7  Max: 16,6  AvgCalls: 1  Players: 0  
141 16:55:09 Avg: 0,7  Max: 4,7  AvgCalls: 1  Players: 0  
142 16:55:39 Avg: 0,7  Max: 7,0  AvgCalls: 1  Players: 0  
143 16:56:09 Avg: 0,7  Max: 7,2  AvgCalls: 1  Players: 0  
144 16:56:39 Avg: 0,7  Max: 8,0  AvgCalls: 1  Players: 0  
145 16:57:09 Avg: 0,7  Max: 10,9  AvgCalls: 1  Players: 0  
146 16:57:39 Avg: 0,7  Max: 8,4  AvgCalls: 1  Players: 0  
147 16:58:09 Avg: 0,6  Max: 5,4  AvgCalls: 1  Players: 0  
148 16:58:39 Avg: 0,7  Max: 6,8  AvgCalls: 1  Players: 0  
149 16:59:09 Avg: 0,8  Max: 8,8  AvgCalls: 1  Players: 0  
150 16:59:39 Avg: 0,7  Max: 10,7  AvgCalls: 1  Players: 0  
151 17:00:09 Avg: 0,7  Max: 5,0  AvgCalls: 1  Players: 0  
152 17:00:39 Avg: 0,6  Max: 4,9  AvgCalls: 1  Players: 0  
153 17:01:09 Avg: 0,7  Max: 4,8  AvgCalls: 1  Players: 0  
154 17:01:39 Avg: 0,7  Max: 12,5  AvgCalls: 1  Players: 0  
155 17:02:09 Avg: 0,7  Max: 24,8  AvgCalls: 1  Players: 0  
156 17:02:39 Avg: 0,6  Max: 3,6  AvgCalls: 1  Players: 0  
157 17:03:09 Avg: 1,1  Max: 32,3  AvgCalls: 1  Players: 0  
158 17:03:39 Avg: 1,2  Max: 10,8  AvgCalls: 1  Players: 1  
